date,strategy,direction,atm,entry,vix,move_pct,pnl_pts,pnl_inr,win
2022-12-16,S4_MOMENTUM,BEAR,18250,128.73,14.06999969482422,0.79,-3.0,-75.0,False
2022-12-19,S4_MOMENTUM,BULL,18400,178.28,13.550000190734863,0.83,-3.0,-75.0,False
2022-12-21,S4_MOMENTUM,BEAR,18200,157.11,15.5600004196167,1.01,8.0,200.0,True
2022-12-22,S4_MOMENTUM,BEAR,18150,159.13,15.1899995803833,0.39,8.0,200.0,True
2022-12-23,S4_MOMENTUM,BEAR,17800,158.3,16.15999984741211,1.77,-3.0,-75.0,False
2022-12-27,S4_MOMENTUM,BULL,18150,185.35,15.289999961853027,1.83,-0.98,-24.0,False
2022-12-29,S4_MOMENTUM,BULL,18200,182.38,14.8100004196167,0.38,-3.0,-75.0,False
2022-12-30,S4_MOMENTUM,BEAR,18100,143.57,14.869999885559082,0.47,-3.0,-75.0,False
2023-01-02,S4_MOMENTUM,BULL,18200,183.32,14.6899995803833,0.51,3.51,88.0,True
2023-01-04,S4_MOMENTUM,BEAR,18050,152.32,15.199999809265137,1.04,8.0,200.0,True
2023-01-06,S4_MOMENTUM,BEAR,17850,141.62,15.029999732971191,0.74,-3.0,-75.0,False
2023-01-09,S4_MOMENTUM,BULL,18100,182.98,14.649999618530272,1.35,-3.0,-75.0,False
2023-01-10,S4_MOMENTUM,BEAR,17900,147.44,15.510000228881836,1.03,1.85,46.0,True
2023-01-13,S4_MOMENTUM,BULL,17950,180.4,14.460000038146973,0.55,-3.0,-75.0,False
2023-01-16,S4_MOMENTUM,BEAR,17900,147.29,15.020000457763672,0.34,-3.0,-75.0,False
2023-01-17,S4_MOMENTUM,BULL,18050,182.29,14.59000015258789,0.89,8.0,200.0,True
2023-01-18,S4_MOMENTUM,BULL,18150,185.57,14.369999885559082,0.62,-3.0,-75.0,False
2023-01-19,S4_MOMENTUM,BEAR,18100,129.43,13.960000038146973,0.32,8.0,200.0,True
2023-01-20,S4_MOMENTUM,BEAR,18050,137.21,13.789999961853027,0.44,-3.0,-75.0,False
2023-01-23,S4_MOMENTUM,BULL,18100,174.7,13.619999885559082,0.5,-0.02,-0.0,False
2023-01-25,S4_MOMENTUM,BEAR,17900,143.11,14.65999984741211,1.25,8.0,200.0,True
2023-01-27,S4_MOMENTUM,BEAR,17600,173.42,17.31999969482422,1.61,-3.0,-75.0,False
2023-02-03,S4_MOMENTUM,BULL,17850,177.02,14.399999618530272,1.38,-3.0,-75.0,False
2023-02-06,S4_MOMENTUM,BEAR,17750,133.86,14.6899995803833,0.5,4.31,108.0,True
2023-02-08,S4_MOMENTUM,BULL,17850,172.6,13.600000381469728,0.85,2.18,55.0,True
2023-02-13,S4_MOMENTUM,BEAR,17750,117.48,13.68000030517578,0.48,-3.0,-75.0,False
2023-02-14,S4_MOMENTUM,BULL,17950,153.59,13.449999809265137,0.89,8.0,200.0,True
2023-02-15,S4_MOMENTUM,BULL,18000,160.54,12.859999656677246,0.48,2.0,50.0,True
2023-02-17,S4_MOMENTUM,BEAR,17950,120.15,13.09000015258789,0.51,8.0,200.0,True
2023-02-20,S4_MOMENTUM,BEAR,17850,123.2,13.380000114440918,0.56,1.79,45.0,True
2023-02-22,S4_MOMENTUM,BEAR,17550,148.04,15.59000015258789,1.53,4.31,108.0,True
2023-02-27,S4_MOMENTUM,BEAR,17400,126.42,13.880000114440918,0.42,8.0,200.0,True
2023-02-28,S4_MOMENTUM,BEAR,17300,123.41,14.020000457763672,0.51,-3.0,-75.0,False
2023-03-01,S4_MOMENTUM,BULL,17450,149.56,13.0,0.85,-3.0,-75.0,False
2023-03-02,S4_MOMENTUM,BEAR,17300,103.11,12.970000267028809,0.74,-3.0,-75.0,False
2023-03-03,S4_MOMENTUM,BULL,17600,136.43,12.18000030517578,1.57,8.0,200.0,True
2023-03-06,S4_MOMENTUM,BULL,17700,146.12,12.270000457763672,0.67,4.3,108.0,True
2023-03-09,S4_MOMENTUM,BEAR,17600,113.35,12.729999542236328,0.93,8.0,200.0,True
2023-03-10,S4_MOMENTUM,BEAR,17400,112.97,13.40999984741211,1.0,8.0,200.0,True
2023-03-13,S4_MOMENTUM,BEAR,17150,152.11,16.219999313354492,1.49,8.0,200.0,True
2023-03-14,S4_MOMENTUM,BEAR,17050,154.92,16.219999313354492,0.65,8.0,200.0,True
2023-03-15,S4_MOMENTUM,BEAR,16950,144.4,16.299999237060547,0.42,-1.34,-34.0,False
2023-03-17,S4_MOMENTUM,BULL,17100,170.66,14.770000457763672,0.67,-3.0,-75.0,False
2023-03-20,S4_MOMENTUM,BEAR,17000,153.2,16.010000228881836,0.65,-3.0,-75.0,False
2023-03-21,S4_MOMENTUM,BULL,17100,178.41,15.079999923706056,0.7,4.44,111.0,True
2023-03-23,S4_MOMENTUM,BEAR,17100,137.46,14.489999771118164,0.44,8.0,200.0,True
2023-03-24,S4_MOMENTUM,BEAR,16950,139.55,15.239999771118164,0.77,-3.0,-75.0,False
